palm_id,t,status,at_risk,deg,n_nb_obs,n_nb_sympt,n_nb_dead,prev_global
D3Y1_38,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_39,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_34,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_35,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_36,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_40,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_41,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_42,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_19,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_21,0.5,A,1,5,5,0,0,0.0008333333333333334
D3Y1_43,0.5,A,1,5,5,0,0,0.0008333333333333334
D3Y1_44,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_45,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_37,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_38,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_39,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_46,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_47,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_48,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_22,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_24,0.5,A,1,3,3,0,0,0.0008333333333333334
D3Y1_49,0.5,A,1,3,3,0,0,0.0008333333333333334
D3Y1_50,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_51,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_40,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_41,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_42,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_52,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_53,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_54,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_25,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_27,0.5,A,1,5,5,0,0,0.0008333333333333334
