a,b,parcel
D2L3_27,D2L1_25,44A
D2L1_22,D2L3_27,44A
D2L3_27,D2L1_28,44A
D2L1_22,D2L1_25,44A
D2L1_25,D2L1_28,44A
D2L1_25,D2L1_29,44A
D2L1_23,D2L1_25,44A
D2L1_22,D2L1_23,44A
D2L1_28,D2L1_31,44A
D2L1_28,D2L1_29,44A
D2L1_29,D2L1_31,44A
D2L1_17,D2L1_18,44A
D2L1_17,D2L1_20,44A
D5L3_29,D2L1_17,44A
D2L1_19,D2L1_20,44A
D5L3_28,D5L3_29,44A
D5L3_26,D5L3_29,44A
D5L3_26,D5L3_27,44A
D2L1_20,D2L1_23,44A
D2L1_25,D2L1_26,44A
D2L1_31,D2L1_32,44A
D2L1_29,D2L1_32,44A
D2L1_26,D2L1_29,44A
D2L1_29,D2L1_30,44A
D2L1_23,D2L1_26,44A
D2L1_23,D2L1_24,44A
D2L1_18,D2L1_20,44A
D5L3_29,D2L1_18,44A
D2L1_18,D5L2_16,44A
D5L3_30,D2L1_18,44A
D2L1_18,D2L1_21,44A
D2L1_20,D2L1_21,44A
D5L3_27,D5L3_29,44A
D5L3_29,D5L3_30,44A
D5L3_27,D5L3_30,44A
D5L3_27,D1Y1_25,44A
D5L3_30,D5L2_16,44A
D5L2_16,D2L1_21,44A
D1Y1_28,D5L2_16,44A
D5L2_16,D5L2_19,44A
D5L3_30,D1Y1_28,44A
D1Y1_25,D5L3_30,44A
D2L1_21,D5L2_19,44A
D1Y1_25,D1Y1_28,44A
D5L2_16,D5L2_17,44A
D1Y1_28,D5L2_17,44A
D1Y1_26,D1Y1_28,44A
D1Y1_28,D1Y1_29,44A
D1Y1_25,D1Y1_26,44A
D5L2_17,D5L2_19,44A
D5L2_19,D5L2_20,44A
D5L2_17,D5L2_20,44A
D5L2_17,D5L2_18,44A
D1Y1_29,D5L2_17,44A
D1Y1_26,D1Y1_27,44A
D1Y1_26,D1Y1_29,44A
D5L2_18,D5L2_20,44A
D5L2_20,D5L2_21,44A
D1Y1_29,D5L2_18,44A
D1Y1_30,D5L2_18,44A
D5L2_18,D5L2_21,44A
D5L2_18,D2L2_16,44A
