rank,palm_id,parcel,plot,progeny,xm,ym,in_risk_set,status,logit,risk_percentile,risk_decile,n_neighbours,n_sick_neighbours
266,D1Y1_3,44A,72,D1Y1,7.7942,8.5000,1,A,0.059971,60.51,7,4,4
267,D1Y1_64,44B,2,D1Y1,45.0333,31.0000,1,A,0.059692,60.36,7,6,2
268,D4L1_31,44A,41,D4L1,55.4256,9.0000,1,A,0.058979,60.21,7,6,1
269,D1Y1_36,44A,38,D1Y1,51.9615,8.0000,1,A,0.058848,60.06,7,6,2
270,D4L1_63,44B,9,D4L1,48.4974,27.0000,1,A,0.057715,59.91,6,6,2
271,D2L1_7,44A,75,D2L1,13.8564,9.0000,1,A,0.057162,59.76,6,6,2
272,D5L3_34,44A,45,D5L3,56.2917,12.5000,1,A,0.055999,59.61,6,6,2
273,D1Y1_65,44B,2,D1Y1,45.0333,32.0000,1,A,0.055801,59.46,6,6,2
274,D3L1_15,44A,76,D3L1,11.2583,11.5000,1,A,0.054565,59.31,6,6,2
275,D4L1_42,44A,41,D4L1,58.0237,11.5000,1,A,0.053117,59.17,6,6,2
276,D2Y1_42,44A,36,D2Y1,45.0333,5.0000,1,A,0.052645,59.02,6,6,2
277,D3L1_60,44B,30,D3L1,30.3109,24.5000,1,A,0.052325,58.87,6,6,2
278,D4L3_29,44A,53,D4L3,41.5692,7.0000,1,A,0.051486,58.72,6,6,1
279,D2Y1_1,44A,70,D2Y1,16.4545,6.5000,1,A,0.051253,58.57,6,6,2
280,D3Y1_75,44A,39,D3Y1,50.2295,8.0000,1,A,0.051177,58.42,6,6,3
281,D5L3_25,44A,56,D5L3,27.7128,6.0000,1,A,0.050489,58.27,6,6,1
282,D3L2_13,44A,80,D3L2,11.2583,12.5000,1,A,0.050452,58.12,6,6,2
