part,dataset,fold,h,model,metric,mean,std,n,pos,verdict,strata,observed,null_mean,null_std,excess,z,n_ge,n_perm,note
PERMNULL,REAL,,4,,RR_MH,,,,,,global,1.6287011909578701,1.0007608267278438,0.09326472461764707,1.627462973628957,6.732881770726965,0,500,
PERMNULL,REAL,,1,,RR,,,,,,progeny,5.166593122506741,4.125795854222017,0.23889045466749592,1.2522658185376898,4.3567972179272605,0,500,
PERMNULL,REAL,,1,,RR_MH,,,,,,progeny,1.6324103402825176,1.1277169751721081,0.10915221602811971,1.4475354864933065,4.623757386477529,0,500,
PERMNULL,REAL,,2,,RR,,,,,,progeny,4.738191682623852,3.7273606210378714,0.20985457652873998,1.2711921824469237,4.816816856255435,0,500,
PERMNULL,REAL,,2,,RR_MH,,,,,,progeny,1.6345800596898348,1.117770199810065,0.1023372440624692,1.4623578799717398,5.0500662257847795,0,500,
PERMNULL,REAL,,3,,RR,,,,,,progeny,4.468499836257589,3.4613055929390204,0.189111990712933,1.2909868014466046,5.325914234848613,0,500,
PERMNULL,REAL,,3,,RR_MH,,,,,,progeny,1.646190640679915,1.1106037877708705,0.0963265075825945,1.4822483578811112,5.56011908196515,0,500,
PERMNULL,REAL,,4,,RR,,,,,,progeny,4.062670970364034,3.1422212536748013,0.16763029962392637,1.2929296323779793,5.49095073357403,0,500,
PERMNULL,REAL,,4,,RR_MH,,,,,,progeny,1.6287011909578701,1.106595249287903,0.0920373991605106,1.471812925282251,5.672758535466971,0,500,
PERMNULL,REAL,,1,,RR,,,,,,progeny_parcel,5.166593122506741,4.16547134546842,0.23352139765044852,1.2403381740045896,4.287066569106749,0,500,
PERMNULL,REAL,,1,,RR_MH,,,,,,progeny_parcel,1.6324103402825176,1.1467606550249407,0.10874186828143893,1.4234969896547545,4.46607818067507,0,500,
PERMNULL,REAL,,2,,RR,,,,,,progeny_parcel,4.738191682623852,3.761073232687294,0.20544121086711342,1.2597977729985346,4.756194951404335,0,500,
PERMNULL,REAL,,2,,RR_MH,,,,,,progeny_parcel,1.6345800596898348,1.1346463083114735,0.10168974364525699,1.4406075688223396,4.916265234401338,0,500,
